sat_id,toc_time,toe_s,af0_s,af1_s_per_s,af2_s_per_s2,sqrt_a_sqrt_m,eccentricity,i0_rad,omega0_rad,omega_rad,m0_rad,delta_n_rad_s,health,is_healthy
C27,2026-04-30 22:00:00,424800.0,0.0006268703145906,4.893863092548e-12,0.0,5282.656944275,0.0007505659013987,0.9485452891872,1.570178650598,1.483593558998,2.678307954505,4.489115561111e-09,0.0,True
C27,2026-04-30 23:00:00,428400.0,0.0006268878933042,4.898303984646e-12,0.0,5282.657123566,0.0007504674140364,0.9485454954587,1.570151659759,1.483559342807,-3.117282556817,4.443399371133e-09,0.0,True
C28,2026-04-30 00:00:00,345600.0,0.0005120490677655,4.14779322e-12,0.0,5282.628355026,5.272636190057e-05,0.9484283757002,1.570455633655,0.2337417079375,0.1210175135509,4.30946522081e-09,0.0,True
C28,2026-04-30 01:00:00,349200.0,0.0005120636196807,4.104272477434e-12,0.0,5282.630353928,5.359691567719e-05,0.9484282162421,1.57042911095,0.2439204373853,0.5984065232908,4.264463346301e-09,0.0,True
C28,2026-04-30 02:00:00,352800.0,0.0005120789865032,4.156675004197e-12,0.0,5282.629875183,5.352520383894e-05,0.948428039229,1.570402617504,0.2394182002033,1.090475779905,4.268749239112e-09,0.0,True
C28,2026-04-30 03:00:00,356400.0,0.000512094120495,4.17710310785e-12,0.0,5282.627416611,5.353940650821e-05,0.9484278154026,1.570376258646,0.2158039608955,1.601657184936,4.319822795102e-09,0.0,True
C28,2026-04-30 04:00:00,360000.0,0.0005121093709022,4.199307568342e-12,0.0,5282.626050949,5.384569521993e-05,0.9484273472688,1.570349990489,0.2040064131145,2.101022751322,4.370896351092e-09,0.0,True
C28,2026-04-30 05:00:00,363600.0,0.0005121243884787,4.182432178368e-12,0.0,5282.627101898,5.33782877028e-05,0.9484266055693,1.570323432674,0.2090975289514,2.583500239258,4.386611291396e-09,0.0,True
C28,2026-04-30 06:00:00,367200.0,0.0005121392896399,4.17532675101e-12,0.0,5282.628095627,5.287362728268e-05,0.9484259516449,1.570296459391,0.2105821655125,3.069583998735,4.390182868738e-09,0.0,True
C28,2026-04-30 07:00:00,370800.0,0.0005121543072164,4.172662215751e-12,0.0,5282.627132416,5.332578439265e-05,0.9484255054549,1.570269494885,0.2146629199037,-2.730113950604,4.412683805993e-09,0.0,True
