sat_id,toc,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,DeltaN,IDOT,Cuc,Cus,Crc,Crs,Cic,Cis,health,is_healthy,parse_status
C32,2026-04-01 22:00:00,338400.0,-0.000931209360715,3.91064958194e-12,0.0,59.404296875,0.0007604851853102,0.986877841229,-2.116137322482,-0.6019208921241,2.537063265154,3.676581715814e-09,5.42879755978e-10,3.858469426632e-06,6.710179150105e-06,236.3671875,78.015625,-1.862645149231e-08,4.936009645462e-08,0.0,yes,ok
C32,2026-04-01 23:00:00,342000.0,-0.000931192713324,4.172662215751e-12,0.0,46.423828125,0.0007605908904225,0.9868798805368,-2.116161878293,-0.6030492752172,3.025759105092,3.703189967012e-09,5.543088034723e-10,3.906898200512e-06,6.640329957008e-06,239.12109375,79.95703125,-1.769512891769e-08,1.117587089539e-08,0.0,yes,ok
C32,2026-04-01 23:00:00,342000.0,-0.000931192713324,4.172662215751e-12,0.0,46.423828125,0.0007605908904225,0.9868798805368,-2.116161878293,-0.6030492752172,3.025759105092,3.703189967012e-09,5.543088034723e-10,3.906898200512e-06,6.640329957008e-06,239.12109375,79.95703125,-1.769512891769e-08,1.117587089539e-08,0.0,yes,ok
C33,2026-04-01 00:00:00,259200.0,-0.0009237978956662,2.854605440916e-12,0.0,77.982421875,0.0006284294067882,0.9868689525388,-2.115698447058,-0.09819058603204,-0.8347627255039,3.752477734331e-09,4.580547941065e-10,3.459863364697e-06,5.190260708332e-06,270.328125,69.05859375,-6.519258022308e-08,1.955777406693e-08,0.0,yes,ok
C33,2026-04-01 01:00:00,262800.0,-0.0009237882331945,2.794209308377e-12,0.0,58.41796875,0.0006283454713412,0.9868707292528,-2.115723316666,-0.09835099499943,-0.3470367790405,3.765156833895e-09,4.648407910562e-10,3.443099558353e-06,5.223788321018e-06,269.6328125,68.92578125,-3.818422555923e-08,-1.024454832077e-08,0.0,yes,ok
C33,2026-04-01 02:00:00,266400.0,-0.0009237776976079,2.835953694103e-12,0.0,30.935546875,0.0006277583306655,0.9868723260279,-2.115747993168,-0.09600599656654,0.1381873383202,3.812123075942e-09,4.693052627337e-10,3.66847962141e-06,5.364418029785e-06,266.39453125,74.0390625,-4.936009645462e-08,-2.793967723846e-08,0.0,yes,ok
C33,2026-04-01 03:00:00,270000.0,-0.0009237670456059,2.871480830891e-12,0.0,22.16796875,0.0006268846336752,0.9868738386852,-2.115772853266,-0.09470152714444,0.6244520285792,3.839802800342e-09,4.978778814693e-10,3.693625330925e-06,5.542300641537e-06,261.84375,74.62890625,-4.656612873077e-09,-7.636845111847e-08,0.0,yes,ok
C33,2026-04-01 03:00:00,270000.0,-0.0009237670456059,2.871480830891e-12,0.0,22.16796875,0.0006268846336752,0.9868738386852,-2.115772853266,-0.09470152714444,0.6244520285792,3.839802800342e-09,4.978778814693e-10,3.693625330925e-06,5.542300641537e-06,261.84375,74.62890625,-4.656612873077e-09,-7.636845111847e-08,0.0,yes,ok
C33,2026-04-01 04:00:00,273600.0,-0.000923756218981,2.913225216616e-12,0.0,32.373046875,0.0006272820755839,0.9868754976343,-2.11579794158,-0.0948097296858,1.112126704884,3.822659229101e-09,5.473442276555e-10,3.773719072342e-06,5.489215254784e-06,262.6171875,75.9140625,6.519258022308e-08,-2.98023223877e-08,0.0,yes,ok
C33,2026-04-01 04:00:00,273600.0,-0.000923756218981,2.913225216616e-12,0.0,32.373046875,0.0006272820755839,0.9868754976343,-2.11579794158,-0.0948097296858,1.112126704884,3.822659229101e-09,5.473442276555e-10,3.773719072342e-06,5.489215254784e-06,262.6171875,75.9140625,6.519258022308e-08,-2.98023223877e-08,0.0,yes,ok
C33,2026-04-01 05:00:00,277200.0,-0.000923746265471,2.879474436668e-12,0.0,38.45703125,0.0006278456421569,0.9868774147884,-2.115823105234,-0.09460905316682,1.599491867954,3.786050561346e-09,5.921675232971e-10,3.86405736208e-06,5.510635674e-06,262.09375,78.15625,3.259629011154e-08,3.632158041e-08,0.0,yes,ok
