sat_id,toc_time,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,delta_n,health
C34,2026-04-01 17:00:00,320400.0,0.0009161974885501,8.02735655725e-12,0.0,-98.69921875,0.0007146305870265,0.9447910983415,2.029624994233,1.011906219807,3.000450987319,4.651800909037e-09,0.0
C34,2026-04-01 17:00:00,320400.0,0.0009161974885501,8.02735655725e-12,0.0,-98.69921875,0.0007146305870265,0.9447910983415,2.029624994233,1.011906219807,3.000450987319,4.651800909037e-09,0.0
C34,2026-04-01 18:00:00,324000.0,0.000916225137189,7.940315072119e-12,0.0,-88.021484375,0.0007140911766328,0.9447895169271,2.029597648637,1.012971958554,-2.796228253971,4.664480008601e-09,0.0
C34,2026-04-01 19:00:00,327600.0,0.0009162529604509,7.873701690642e-12,0.0,-89.03125,0.0007133666076697,0.9447882675951,2.029570244524,1.013649319614,-2.309333766507,4.666444376139e-09,0.0
C34,2026-04-01 20:00:00,331200.0,0.0009162825881504,8.021139308312e-12,0.0,-108.833984375,0.0007146989810281,0.9447873503454,2.029543069358,1.013699176594,-1.821807806796,4.663229956531e-09,0.0
C34,2026-04-01 20:00:00,331200.0,0.0009162825881504,8.021139308312e-12,0.0,-108.833984375,0.0007146989810281,0.9447873503454,2.029543069358,1.013699176594,-1.821807806796,4.663229956531e-09,0.0
C34,2026-04-01 21:00:00,334800.0,0.0009163117501885,8.046008304063e-12,0.0,-115.91015625,0.0007163610425778,0.9447865091675,2.029516292106,1.014813260394,-1.335345016217,4.641086177011e-09,0.0
C34,2026-04-01 21:00:00,334800.0,0.0009163117501885,8.046008304063e-12,0.0,-115.91015625,0.0007163610425778,0.9447865091675,2.029516292106,1.014813260394,-1.335345016217,4.641086177011e-09,0.0
C34,2026-04-01 22:00:00,338400.0,0.0009163406793959,8.041567411965e-12,0.0,-95.09765625,0.0007164039998315,0.9447855136518,2.029489671385,1.014712166172,-0.8476705505723,4.604477509256e-09,0.0
C34,2026-04-01 22:00:00,338400.0,0.0009163406793959,8.041567411965e-12,0.0,-95.09765625,0.0007164039998315,0.9447855136518,2.029489671385,1.014712166172,-0.8476705505723,4.604477509256e-09,0.0
C34,2026-04-01 23:00:00,342000.0,0.0009163686772808,7.952749569995e-12,0.0,-66.681640625,0.0007161514949985,0.9447844771743,2.02946293802,1.0118891812,-0.3572784146972,4.552153901196e-09,0.0
C34,2026-04-01 23:00:00,342000.0,0.0009163686772808,7.952749569995e-12,0.0,-66.681640625,0.0007161514949985,0.9447844771743,2.02946293802,1.0118891812,-0.3572784146972,4.552153901196e-09,0.0
C35,2026-04-01 00:00:00,259200.0,-0.0003281143726781,-1.495070733881e-11,0.0,-87.162109375,0.0009894074173644,0.9448936854719,2.030064879802,0.7992840574578,2.720820764237,4.500901766339e-09,0.0
C35,2026-04-01 00:00:00,259200.0,-0.0003281143726781,-1.495070733881e-11,0.0,-87.162109375,0.0009894074173644,0.9448936854719,2.030064879802,0.7992840574578,2.720820764237,4.500901766339e-09,0.0
C35,2026-04-01 01:00:00,262800.0,-0.0003281678073108,-1.490985113151e-11,0.0,-78.58984375,0.0009894107934088,0.9448922686357,2.030038466085,0.7990131235666,-3.07452081475,4.474650672876e-09,0.0
C35,2026-04-01 01:00:00,262800.0,-0.0003281678073108,-1.490985113151e-11,0.0,-78.58984375,0.0009894107934088,0.9448922686357,2.030038466085,0.7990131235666,-3.07452081475,4.474650672876e-09,0.0
C35,2026-04-01 02:00:00,266400.0,-0.0003282206016593,-1.483613232267e-11,0.0,-57.79296875,0.0009878902928904,0.9448908452164,2.030012005554,0.8005549039022,-2.588494515038,4.415541067866e-09,0.0
C35,2026-04-01 02:00:00,266400.0,-0.0003282206016593,-1.483613232267e-11,0.0,-57.79296875,0.0009878902928904,0.9448908452164,2.030012005554,0.8005549039022,-2.588494515038,4.415541067866e-09,0.0
C35,2026-04-01 03:00:00,270000.0,-0.000328274036292,-1.483435596583e-11,0.0,-65.857421875,0.0009869887144305,0.944889467879,2.029985498941,0.8009472102548,-2.101317110189,4.385896975928e-09,0.0
C35,2026-04-01 03:00:00,270000.0,-0.000328274036292,-1.483435596583e-11,0.0,-65.857421875,0.0009869887144305,0.944889467879,2.029985498941,0.8009472102548,-2.101317110189,4.385896975928e-09,0.0
C35,2026-04-01 04:00:00,273600.0,-0.0003283285768703,-1.492050927254e-11,0.0,-96.400390625,0.0009889913490042,0.9448881768538,2.02995904792,0.8013715128201,-1.614166010802,4.396611707954e-09,0.0
C35,2026-04-01 04:00:00,273600.0,-0.0003283285768703,-1.492050927254e-11,0.0,-96.400390625,0.0009889913490042,0.9448881768538,2.02995904792,0.8013715128201,-1.614166010802,4.396611707954e-09,0.0
C35,2026-04-01 05:00:00,277200.0,-0.0003283837577328,-1.505107150024e-11,0.0,-103.419921875,0.0009904860053211,0.9448869216701,2.029932691987,0.8024805532104,-1.127699451746,4.37839666351e-09,0.0
C35,2026-04-01 05:00:00,277200.0,-0.0003283837577328,-1.505107150024e-11,0.0,-103.419921875,0.0009904860053211,0.9448869216701,2.029932691987,0.8024805532104,-1.127699451746,4.37839666351e-09,0.0
C35,2026-04-01 06:00:00,280800.0,-0.0003284378908575,-1.506261781969e-11,0.0,-77.732421875,0.0009900820441544,0.9448856920875,2.029906415053,0.8013378554639,-0.638986838721,4.302500644993e-09,0.0
C35,2026-04-01 06:00:00,280800.0,-0.0003284378908575,-1.506261781969e-11,0.0,-77.732421875,0.0009900820441544,0.9448856920875,2.029906415053,0.8013378554639,-0.638986838721,4.302500644993e-09,0.0
C35,2026-04-01 07:00:00,284400.0,-0.0003284934791736,-1.518429826319e-11,0.0,-59.986328125,0.0009902426972985,0.9448844998092,2.029880302697,0.7987291309372,-0.1488115680163,4.237140779635e-09,0.0
C35,2026-04-01 07:00:00,284400.0,-0.0003284934791736,-1.518429826319e-11,0.0,-59.986328125,0.0009902426972985,0.9448844998092,2.029880302697,0.7987291309372,-0.1488115680163,4.237140779635e-09,0.0
C35,2026-04-01 08:00:00,288000.0,-0.0003285475540906,-1.510702674068e-11,0.0,-79.744140625,0.0009903211030178,0.9448832248761,2.029854447083,0.7983964706805,0.3390913213146,4.255712981813e-09,0.0
C35,2026-04-01 08:00:00,288000.0,-0.0003285475540906,-1.510702674068e-11,0.0,-79.744140625,0.0009903211030178,0.9448832248761,2.029854447083,0.7983964706805,0.3390913213146,4.255712981813e-09,0.0
C35,2026-04-01 09:00:00,291600.0,-0.000328601221554,-1.503419611026e-11,0.0,-114.185546875,0.0009881358128041,0.9448816617482,2.029828809443,0.799606547508,0.8254571138421,4.337859260679e-09,0.0
C35,2026-04-01 09:00:00,291600.0,-0.000328601221554,-1.503419611026e-11,0.0,-114.185546875,0.0009881358128041,0.9448816617482,2.029828809443,0.799606547508,0.8254571138421,4.337859260679e-09,0.0
C35,2026-04-01 10:00:00,295200.0,-0.0003286555293016,-1.504663060814e-11,0.0,-118.685546875,0.0009862433071248,0.94487964731,2.029803082566,0.7997452094666,1.31289411643,4.403576283771e-09,0.0
C35,2026-04-01 10:00:00,295200.0,-0.0003286555293016,-1.504663060814e-11,0.0,-118.685546875,0.0009862433071248,0.94487964731,2.029803082566,0.7997452094666,1.31289411643,4.403576283771e-09,0.0
C35,2026-04-01 11:00:00,298800.0,-0.0003287097206339,-1.50448542513e-11,0.0,-90.1796875,0.0009873511153273,0.9448773249275,2.02977691535,0.8003620700871,1.799847448311,4.42697011536e-09,0.0
C35,2026-04-01 11:00:00,298800.0,-0.0003287097206339,-1.50448542513e-11,0.0,-90.1796875,0.0009873511153273,0.9448773249275,2.02977691535,0.8003620700871,1.799847448311,4.42697011536e-09,0.0
C35,2026-04-01 12:00:00,302400.0,-0.0003287639701739,-1.505728874918e-11,0.0,-76.435546875,0.0009881821461022,0.9448749586575,2.029750307065,0.801401016952,2.28637828945,4.4848296683e-09,0.0
C35,2026-04-01 12:00:00,302400.0,-0.0003287639701739,-1.505728874918e-11,0.0,-76.435546875,0.0009881821461022,0.9448749586575,2.029750307065,0.801401016952,2.28637828945,4.4848296683e-09,0.0
C35,2026-04-01 13:00:00,306000.0,-0.0003288178122602,-1.502531432607e-11,0.0,-86.353515625,0.0009880704456009,0.9448726530986,2.029723384983,0.8002967668869,2.775056848668,4.578583573527e-09,0.0
C35,2026-04-01 13:00:00,306000.0,-0.0003288178122602,-1.502531432607e-11,0.0,-86.353515625,0.0009880704456009,0.9448726530986,2.029723384983,0.8002967668869,2.775056848668,4.578583573527e-09,0.0
C35,2026-04-01 14:00:00,309600.0,-0.0003288711304776,-1.496136547985e-11,0.0,-80.29296875,0.0009881608420983,0.9448704543328,2.029696170318,0.7998538786789,-3.020111909223,4.630728602719e-09,0.0
C35,2026-04-01 15:00:00,313200.0,-0.0003289245651104,-1.492139745096e-11,0.0,-59.998046875,0.000986733881291,0.944868512309,2.029668696717,0.80113538175,-2.533823921994,4.633228706859e-09,0.0
C35,2026-04-01 16:00:00,316800.0,-0.0003289772430435,-1.484146139319e-11,0.0,-64.705078125,0.0009857148397714,0.9448670069663,2.029641168256,0.8014974159388,-2.046615202652,4.636085968732e-09,0.0
C35,2026-04-01 17:00:00,320400.0,-0.0003290342283435,-1.507238778231e-11,0.0,-91.880859375,0.0009872654918581,0.9448658973429,2.029614005524,0.8019473927164,-1.559489470996,4.647515016227e-09,0.0
C35,2026-04-01 18:00:00,324000.0,-0.0003290885942988,-1.508837499387e-11,0.0,-101.8671875,0.0009886617190205,0.9448648023488,2.029587327019,0.8031367436519,-1.073102409103,4.640907598144e-09,0.0
C35,2026-04-01 19:00:00,327600.0,-0.0003291429020464,-1.509281588596e-11,0.0,-82.365234375,0.0009885540348478,0.9448635186381,2.029560735557,0.8026196664793,-0.5850131381568,4.610906348471e-09,0.0
C35,2026-04-01 19:00:00,327600.0,-0.0003291429020464,-1.509281588596e-11,0.0,-82.365234375,0.0009885540348478,0.9448635186381,2.029560735557,0.8026196664793,-0.5850131381568,4.610906348471e-09,0.0
C35,2026-04-01 20:00:00,331200.0,-0.0003291970933788,-1.507594049599e-11,0.0,-62.306640625,0.0009888230706565,0.9448622283444,2.029533951721,0.8004647427981,-0.09528943661609,4.576797784856e-09,0.0
